egoid,vertex1,vertex2,wave
11002,301999,738557,1
11002,361829,744642,1
11002,301999,621152,1
11002,710597,472561,1
11002,466461,744642,1
11002,710597,858353,1
11002,411716,744642,1
11002,466461,361829,1
11002,466461,710597,1
11002,301999,411716,1
11002,11002,710597,1
11002,472561,244268,1
11002,694008,858353,1
11002,694008,606470,1
11002,694008,244268,1
11002,466461,472561,1
11002,562957,738557,1
11002,411716,296300,1
11002,244268,744642,1
11002,562957,301999,1
11002,738557,472561,1
11002,858353,411716,1
11002,361829,244268,1
11002,296300,244268,1
11002,301361,301999,1
11002,694008,411716,1
11002,694008,472561,1
11002,694008,621152,1
11002,411716,244268,1
11002,694008,562957,1
11002,466461,296300,1
11002,710597,738557,1
11002,466461,858353,1
11002,858353,738557,1
11002,301361,472561,1
11002,361829,621152,1
11002,301361,744642,1
11002,301361,710597,1
11002,738557,621152,1
11002,466461,301361,1
11002,296300,606470,1
11002,244268,621152,1
11002,606470,744642,1
11002,738557,606470,1
11002,562957,244268,1
11002,411716,472561,1
11002,466461,606470,1
11002,301361,858353,1
11002,621152,744642,1
11002,858353,244268,1
11002,301999,296300,1
11002,562957,606470,1
11002,301361,411716,1
11002,710597,301999,1
11002,301999,361829,1
11002,562957,411716,1
11002,361829,472561,1
11002,710597,411716,1
11002,472561,621152,1
11002,858353,606470,1
11002,466461,244268,1
11002,472561,744642,1
11002,411716,621152,1
11002,710597,621152,1
11002,301361,562957,1
11002,411716,738557,1
11002,562957,621152,1
11002,621152,606470,1
11002,694008,296300,1
11002,296300,621152,1
11002,694008,301999,1
11002,466461,301999,1
11002,301999,606470,1
11002,551644,503852,1
11002,466461,621152,1
11002,710597,606470,1
11002,411716,606470,1
11002,694008,361829,1
11002,710597,361829,1
11002,301361,244268,1
11002,301361,606470,1
11002,296300,744642,1
11002,562957,472561,1
11002,710597,296300,1
11002,301361,296300,1
11002,301361,738557,1
11002,301361,361829,1
11002,858353,361829,1
11002,466461,694008,1
11002,411716,361829,1
11002,858353,296300,1
11002,301999,744642,1
11002,738557,296300,1
11002,466461,411716,1
11002,361829,606470,1
11002,858353,621152,1
11002,710597,562957,1
11002,11002,694008,1
11002,738557,744642,1
11002,466461,562957,1
11002,738557,361829,1
11002,858353,562957,1
11002,694008,710597,1
11002,301361,621152,1
11002,562957,361829,1
11002,466461,738557,1
11002,858353,301999,1
11002,562957,296300,1
11002,710597,744642,1
11128,11128,571194,1
11128,11128,918244,1
11128,11128,723434,1
11128,11128,468615,1
11128,11128,260787,1
11128,11128,863755,1
11128,11128,931232,1
11128,11128,567410,1
11128,11128,469298,1
11128,11128,331210,1
11128,469298,742863,1
11128,469298,468615,1
11128,567410,469298,1
11128,571194,760620,1
11128,331210,469298,1
11128,931232,468615,1
11128,567410,723434,1
11128,11128,760620,1
11128,331210,338462,1
11128,931232,918244,1
11128,863755,331210,1
11128,918244,723434,1
11128,863755,931232,1
11128,567410,931232,1
11128,11128,742863,1
11128,571194,691537,1
11128,11128,338462,1
11128,567410,331210,1
11128,863755,918244,1
11128,469298,723434,1
11128,469298,931232,1
11128,331210,260787,1
11128,468615,338462,1
11128,863755,723434,1
11128,863755,260787,1
11128,863755,468615,1
11128,567410,260787,1
11128,863755,469298,1
11128,331210,723434,1
11128,338462,260787,1
11128,468615,260787,1
11128,469298,691537,1
11128,11128,691537,1
11128,863755,691537,1
11128,469298,338462,1
11128,331210,931232,1
11128,918244,260787,1
11128,567410,338462,1
11128,567410,918244,1
11128,863755,567410,1
11128,567410,468615,1
11128,567410,742863,1
11128,469298,260787,1
11128,469298,918244,1
11128,331210,918244,1
11128,918244,468615,1
11128,331210,742863,1
11128,863755,742863,1
11128,760620,691537,1
11128,931232,338462,1
11128,931232,260787,1
11128,863755,338462,1
11128,918244,338462,1
11128,331210,468615,1
11128,567410,691537,1
11148,11148,557043,1
11148,11148,654075,1
11148,11148,967737,1
11148,11148,497505,1
11148,11148,984785,1
11148,11148,586674,1
11148,11148,140926,1
11148,11148,989529,1
11148,11148,676252,1
11148,984785,557043,1
11148,454202,497505,1
11148,676252,586674,1
11148,984785,467306,1
11148,796262,467306,1
11148,796262,557043,1
11148,676252,984785,1
11148,676252,467306,1
11148,796262,967737,1
11148,140926,676252,1
11148,796262,497505,1
11148,654075,467306,1
11148,676252,989529,1
11148,989529,497505,1
11148,140926,497505,1
11148,796262,676252,1
11148,989529,467306,1
11148,989529,586674,1
11148,984785,497505,1
11148,796262,454202,1
11148,984785,989529,1
11148,140926,586674,1
11148,984785,586674,1
11148,676252,497505,1
11148,586674,557043,1
11148,140926,984785,1
11148,654075,989529,1
11148,140926,989529,1
11148,497505,557043,1
11148,967737,676252,1
11148,586674,467306,1
11148,796262,984785,1
11148,989529,557043,1
11148,454202,989529,1
11148,654075,984785,1
11148,796262,586674,1
11148,454202,984785,1
11148,654075,454202,1
